rule_number,lhs,rhs,confidence,lift,leverage,conviction
41,['101=101_1'],['100=100_1'],1.0,1.8,0.14,275.86
57,"['97+=97+_1', '101=101_1']",['100=100_1'],1.0,1.8,0.14,265.64
58,"['96+=96+_1', '101=101_1']",['100=100_1'],1.0,1.8,0.14,263.86
64,"['96+=96+_1', '97+=97+_1', '101=101_1']",['100=100_1'],1.0,1.8,0.14,261.64
115,"['96+=96+_1', '101=101_1']","['97+=97+_1', '100=100_1']",0.99,1.89,0.14,46.94
118,"['97+=97+_1', '101=101_1']","['96+=96+_1', '100=100_1']",0.98,1.88,0.14,28.42
153,['101=101_1'],"['97+=97+_1', '100=100_1']",0.96,1.83,0.14,12.27
170,['101=101_1'],"['96+=96+_1', '100=100_1']",0.96,1.82,0.14,10.54
189,['101=101_1'],"['96+=96+_1', '97+=97+_1', '100=100_1']",0.95,1.85,0.14,9.19
450,"['96+=96+_1', '133=133_3']",['132=132_1'],0.88,1.36,0.09,2.89
473,['133=133_3'],['132=132_1'],0.88,1.35,0.09,2.82
469,"['96+=96+_1', '97+=97+_1', '133=133_3']",['132=132_1'],0.88,1.35,0.08,2.84
504,"['97+=97+_1', '133=133_3']",['132=132_1'],0.87,1.35,0.08,2.76
593,"['100=100_0', '30=30_0']",['97+=97+_1'],0.86,0.94,-0.02,0.61
604,"['101=101_0', '30=30_0']",['97+=97+_1'],0.86,0.94,-0.02,0.6
619,"['97+=97+_1', '133=133_3']","['96+=96+_1', '132=132_1']",0.85,1.43,0.09,2.73
637,"['96+=96+_1', '133=133_3']","['97+=97+_1', '132=132_1']",0.84,1.42,0.09,2.58
748,['133=133_3'],"['96+=96+_1', '132=132_1']",0.82,1.37,0.09,2.18
726,"['96+=96+_1', '142=142_1']","['97+=97+_1', '30=30_0']",0.82,1.14,0.05,1.55
701,"['96+=96+_1', '97+=97+_1', '124=124_2']",['varRta=varRta_A'],0.82,0.95,-0.02,0.75
721,"['97+=97+_1', '30=30_0', '142=142_1']",['varRta=varRta_A'],0.82,0.95,-0.02,0.74
725,"['96+=96+_1', '30=30_0', '142=142_1']",['varRta=varRta_A'],0.82,0.95,-0.02,0.74
728,"['30=30_0', '142=142_1']",['varRta=varRta_A'],0.82,0.95,-0.02,0.73
745,"['96+=96+_1', '97+=97+_1', '30=30_0', '142=142_1']",['varRta=varRta_A'],0.82,0.94,-0.02,0.72
709,['100=100_0'],"['96+=96+_1', '97+=97+_1']",0.82,0.94,-0.02,0.69
719,['101=101_0'],"['96+=96+_1', '97+=97+_1']",0.82,0.94,-0.02,0.68
727,"['30=30_0', '102=102_0']","['96+=96+_1', '97+=97+_1']",0.82,0.93,-0.02,0.68
729,"['varRta=varRta_A', '142=142_0']","['96+=96+_1', '97+=97+_1']",0.82,0.93,-0.02,0.68
732,"['100=100_0', 'varRta=varRta_A']","['96+=96+_1', '97+=97+_1']",0.82,0.93,-0.02,0.67
743,"['101=101_0', 'varRta=varRta_A']","['96+=96+_1', '97+=97+_1']",0.82,0.93,-0.02,0.67
752,"['132=132_1', '30=30_0']",['varRta=varRta_A'],0.81,0.94,-0.03,0.71
756,"['96+=96+_1', '132=132_1', '30=30_0']",['varRta=varRta_A'],0.81,0.93,-0.03,0.69
759,"['97+=97+_1', '132=132_1', '30=30_0']",['varRta=varRta_A'],0.81,0.93,-0.03,0.69
784,['133=133_3'],"['97+=97+_1', '132=132_1']",0.8,1.35,0.08,2.04
777,"['132=132_1', '142=142_1']",['varRta=varRta_A'],0.8,0.93,-0.02,0.67
796,"['96+=96+_1', '97+=97+_1', '132=132_1', '30=30_0']",['varRta=varRta_A'],0.8,0.92,-0.03,0.66
