rule_number,lhs,rhs,confidence,lift,leverage,conviction
746,['102=102_2'],['100=100_1'],1.0,1.91,0.15,808.88
748,"['102=102_2', '142=142_0']",['100=100_1'],1.0,1.91,0.15,808.88
750,['102=102_2'],"['100=100_1', '142=142_0']",1.0,1.91,0.15,808.88
830,['101=101_1'],['100=100_1'],1.0,1.91,0.15,799.84
832,"['101=101_1', '142=142_0']",['100=100_1'],1.0,1.91,0.15,799.84
834,['101=101_1'],"['100=100_1', '142=142_0']",1.0,1.91,0.15,799.84
1885,"['97+=97+_1', '30=30_0', '121=121_0', '133=133_0']","['96+=96+_1', '132=132_0']",0.93,1.49,0.1,5.24
1886,"['97+=97+_1', '30=30_0', '121=121_0', '133=133_0', '142=142_0']","['96+=96+_1', '132=132_0']",0.93,1.49,0.1,5.24
1887,"['97+=97+_1', '30=30_0', '121=121_0', '133=133_0']","['96+=96+_1', '132=132_0', '142=142_0']",0.93,1.49,0.1,5.24
1900,"['97+=97+_1', '121=121_0', '124=124_0', '133=133_0']","['96+=96+_1', '132=132_0']",0.93,1.49,0.1,5.2
1901,"['97+=97+_1', '121=121_0', '124=124_0', '133=133_0', '142=142_0']","['96+=96+_1', '132=132_0']",0.93,1.49,0.1,5.2
1902,"['97+=97+_1', '121=121_0', '124=124_0', '133=133_0']","['96+=96+_1', '132=132_0', '142=142_0']",0.93,1.49,0.1,5.2
1906,"['97+=97+_1', '30=30_0', '124=124_0', '133=133_0']","['96+=96+_1', '132=132_0']",0.93,1.48,0.11,5.17
1907,"['97+=97+_1', '30=30_0', '124=124_0', '133=133_0', '142=142_0']","['96+=96+_1', '132=132_0']",0.93,1.48,0.11,5.17
1908,"['97+=97+_1', '30=30_0', '124=124_0', '133=133_0']","['96+=96+_1', '132=132_0', '142=142_0']",0.93,1.48,0.11,5.17
1963,"['97+=97+_1', '30=30_0', '120=120_0', '133=133_0']","['96+=96+_1', '132=132_0']",0.92,1.48,0.11,4.77
1964,"['97+=97+_1', '30=30_0', '120=120_0', '133=133_0', '142=142_0']","['96+=96+_1', '132=132_0']",0.92,1.48,0.11,4.77
1965,"['97+=97+_1', '30=30_0', '120=120_0', '133=133_0']","['96+=96+_1', '132=132_0', '142=142_0']",0.92,1.48,0.11,4.77
1981,"['97+=97+_1', '30=30_0', '133=133_0']","['96+=96+_1', '132=132_0']",0.92,1.47,0.14,4.74
1982,"['97+=97+_1', '30=30_0', '133=133_0', '142=142_0']","['96+=96+_1', '132=132_0']",0.92,1.47,0.14,4.74
1983,"['97+=97+_1', '30=30_0', '133=133_0']","['96+=96+_1', '132=132_0', '142=142_0']",0.92,1.47,0.14,4.74
2008,"['97+=97+_1', '124=124_0', '133=133_0']","['96+=96+_1', '132=132_0']",0.92,1.47,0.13,4.59
2009,"['97+=97+_1', '124=124_0', '133=133_0', '142=142_0']","['96+=96+_1', '132=132_0']",0.92,1.47,0.13,4.59
2010,"['97+=97+_1', '124=124_0', '133=133_0']","['96+=96+_1', '132=132_0', '142=142_0']",0.92,1.47,0.13,4.59
2032,"['97+=97+_1', '121=121_0', '133=133_0']","['96+=96+_1', '132=132_0']",0.92,1.47,0.12,4.49
2033,"['97+=97+_1', '121=121_0', '133=133_0', '142=142_0']","['96+=96+_1', '132=132_0']",0.92,1.47,0.12,4.49
2034,"['97+=97+_1', '121=121_0', '133=133_0']","['96+=96+_1', '132=132_0', '142=142_0']",0.92,1.47,0.12,4.49
1975,"['97+=97+_1', '120=120_0', '124=124_0', '133=133_0']","['96+=96+_1', '132=132_0']",0.92,1.47,0.11,4.75
1976,"['97+=97+_1', '120=120_0', '124=124_0', '133=133_0', '142=142_0']","['96+=96+_1', '132=132_0']",0.92,1.47,0.11,4.75
1977,"['97+=97+_1', '120=120_0', '124=124_0', '133=133_0']","['96+=96+_1', '132=132_0', '142=142_0']",0.92,1.47,0.11,4.75
2143,"['97+=97+_1', '132=132_0', '102=102_0']","['96+=96+_1', '133=133_0']",0.91,1.49,0.1,4.18
2144,"['97+=97+_1', '132=132_0', '102=102_0', '142=142_0']","['96+=96+_1', '133=133_0']",0.91,1.49,0.1,4.18
2145,"['97+=97+_1', '132=132_0', '102=102_0']","['96+=96+_1', '133=133_0', '142=142_0']",0.91,1.49,0.1,4.18
2056,"['97+=97+_1', '102=102_0', '133=133_0']","['96+=96+_1', '132=132_0']",0.91,1.46,0.1,4.36
2057,"['97+=97+_1', '102=102_0', '133=133_0', '142=142_0']","['96+=96+_1', '132=132_0']",0.91,1.46,0.1,4.36
2058,"['97+=97+_1', '102=102_0', '133=133_0']","['96+=96+_1', '132=132_0', '142=142_0']",0.91,1.46,0.1,4.36
2170,"['97+=97+_1', '132=132_0', '30=30_0', '121=121_0']","['96+=96+_1', '133=133_0']",0.9,1.48,0.1,4.01
2171,"['97+=97+_1', '132=132_0', '30=30_0', '121=121_0', '142=142_0']","['96+=96+_1', '133=133_0']",0.9,1.48,0.1,4.01
