rule_number,lhs,rhs,confidence,lift,leverage,conviction
746,"['107. TíTULO DE ANTICUERPOS ANTINUCLEARES O ANA=[320.00, 10240.00)']",['105. ANTICUERPOS ANTINUCLEARES O ANA=100_1'],1.0,1.91,0.15,808.88
748,"['107. TíTULO DE ANTICUERPOS ANTINUCLEARES O ANA=[320.00, 10240.00)', '148. DOSIS DE LEFLUNOMIDA FORMULADA EN MILIGRAMOS A LA SEMANA=[0.00, 70.00)']",['105. ANTICUERPOS ANTINUCLEARES O ANA=100_1'],1.0,1.91,0.15,808.88
750,"['107. TíTULO DE ANTICUERPOS ANTINUCLEARES O ANA=[320.00, 10240.00)']","['105. ANTICUERPOS ANTINUCLEARES O ANA=100_1', '148. DOSIS DE LEFLUNOMIDA FORMULADA EN MILIGRAMOS A LA SEMANA=[0.00, 70.00)']",1.0,1.91,0.15,808.88
830,['106. PATRóN DE ANTICUERPOS ANTINUCLEARES O ANA=101_1'],['105. ANTICUERPOS ANTINUCLEARES O ANA=100_1'],1.0,1.91,0.15,799.84
832,"['106. PATRóN DE ANTICUERPOS ANTINUCLEARES O ANA=101_1', '148. DOSIS DE LEFLUNOMIDA FORMULADA EN MILIGRAMOS A LA SEMANA=[0.00, 70.00)']",['105. ANTICUERPOS ANTINUCLEARES O ANA=100_1'],1.0,1.91,0.15,799.84
834,['106. PATRóN DE ANTICUERPOS ANTINUCLEARES O ANA=101_1'],"['105. ANTICUERPOS ANTINUCLEARES O ANA=100_1', '148. DOSIS DE LEFLUNOMIDA FORMULADA EN MILIGRAMOS A LA SEMANA=[0.00, 70.00)']",1.0,1.91,0.15,799.84
1885,"['97+=97+_1', '37. TIEMPO EN MESES QUE RECIBIO LEFLUNOMIDA=[0.00, 3.00)', '127. NUMERO DE ARTICULACIONES INFLAMADAS=[0.00, 3.21)', '139. DOSIS DE CORTICOIDES FORMULADA HACIENDO EQUIVALENCIA A PREDNISOLONA EN MILIGRAMOS DIARIOS (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA O SIMILARES)=[0.00, 5.00)']","['96+=96+_1', '138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_0']",0.93,1.49,0.1,5.24
1886,"['97+=97+_1', '37. TIEMPO EN MESES QUE RECIBIO LEFLUNOMIDA=[0.00, 3.00)', '127. NUMERO DE ARTICULACIONES INFLAMADAS=[0.00, 3.21)', '139. DOSIS DE CORTICOIDES FORMULADA HACIENDO EQUIVALENCIA A PREDNISOLONA EN MILIGRAMOS DIARIOS (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA O SIMILARES)=[0.00, 5.00)', '148. DOSIS DE LEFLUNOMIDA FORMULADA EN MILIGRAMOS A LA SEMANA=[0.00, 70.00)']","['96+=96+_1', '138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_0']",0.93,1.49,0.1,5.24
1887,"['97+=97+_1', '37. TIEMPO EN MESES QUE RECIBIO LEFLUNOMIDA=[0.00, 3.00)', '127. NUMERO DE ARTICULACIONES INFLAMADAS=[0.00, 3.21)', '139. DOSIS DE CORTICOIDES FORMULADA HACIENDO EQUIVALENCIA A PREDNISOLONA EN MILIGRAMOS DIARIOS (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA O SIMILARES)=[0.00, 5.00)']","['96+=96+_1', '138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_0', '148. DOSIS DE LEFLUNOMIDA FORMULADA EN MILIGRAMOS A LA SEMANA=[0.00, 70.00)']",0.93,1.49,0.1,5.24
1900,"['97+=97+_1', '127. NUMERO DE ARTICULACIONES INFLAMADAS=[0.00, 3.21)', '130. PUNTOS DE FIBROMIALGIA=[0.00, 4.00)', '139. DOSIS DE CORTICOIDES FORMULADA HACIENDO EQUIVALENCIA A PREDNISOLONA EN MILIGRAMOS DIARIOS (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA O SIMILARES)=[0.00, 5.00)']","['96+=96+_1', '138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_0']",0.93,1.49,0.1,5.2
